position,video_id,title,duration_seconds,transcript_file,status,word_count,youtube_url
1,ahws--oNpBc,"An Introduction to FPGAs: Architecture, Programmability and Advantageous",2913,"001 - An Introduction to FPGAs - Architecture, Programmability and Advantageous.txt",pending,0,https://www.youtube.com/watch?v=ahws--oNpBc
2,X4z1U8dJCTc,Programmable System on a Chip (SoC) Design with Xilinx Zynq,1644,002 - Programmable System on a Chip (SoC) Design with Xilinx Zynq.txt,pending,0,https://www.youtube.com/watch?v=X4z1U8dJCTc
3,HXUB2Lymguc,Introduction to Zedboard and First Project with Xilinx SDK,1775,003 - Introduction to Zedboard and First Project with Xilinx SDK.txt,pending,0,https://www.youtube.com/watch?v=HXUB2Lymguc
4,f2pPIRHc0bM,"Xilinx SDK: Output with print, xil_printf and printf",802,"004 - Xilinx SDK - Output with print, xil_printf and printf.txt",pending,0,https://www.youtube.com/watch?v=f2pPIRHc0bM
5,EyUu7kjk6ag,Xilinx Vivado: Starting a Project and using the GPIO pins,2228,005 - Xilinx Vivado - Starting a Project and using the GPIO pins.txt,pending,0,https://www.youtube.com/watch?v=EyUu7kjk6ag
6,Qtv61bXQyYk,Synchronous Circuit Design with Verilog and Vivado: A running LED Display,1912,006 - Synchronous Circuit Design with Verilog and Vivado - A running LED Display.txt,pending,0,https://www.youtube.com/watch?v=Qtv61bXQyYk
7,qs5mijrqAfM,Designing a Simple Voting Machine using FPGAs with Verilog HDL and Vivado,3815,007 - Designing a Simple Voting Machine using FPGAs with Verilog HDL and Vivado.txt,pending,0,https://www.youtube.com/watch?v=qs5mijrqAfM
8,V8jW81VaLOg,Developing an SPI Controller for Zedboard OLED Display,3077,008 - Developing an SPI Controller for Zedboard OLED Display.txt,pending,0,https://www.youtube.com/watch?v=V8jW81VaLOg
9,kTjeTOf6ACI,In-System Debugging with Vivado Using ILA Core,2638,009 - In-System Debugging with Vivado Using ILA Core.txt,pending,0,https://www.youtube.com/watch?v=kTjeTOf6ACI
10,GILjTGScbfc,Interfacing with OLED Display of Zedboard: Part 1 Introduction,757,010 - Interfacing with OLED Display of Zedboard - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=GILjTGScbfc
11,iQs3wfZRmxk,Interfacing with OLED Display of Zedboard: Part 2 Statemachine Development,3562,011 - Interfacing with OLED Display of Zedboard - Part 2 Statemachine Development.txt,pending,0,https://www.youtube.com/watch?v=iQs3wfZRmxk
12,dNjxdfCOP58,Interfacing with OLED Display of Zedboard: Part 3 Displaying a constant String,3331,012 - Interfacing with OLED Display of Zedboard - Part 3 Displaying a constant String.txt,pending,0,https://www.youtube.com/watch?v=dNjxdfCOP58
13,pEilWi6PMHY,Hardware Software Codesign 1,2012,013 - Hardware Software Codesign 1.txt,pending,0,https://www.youtube.com/watch?v=pEilWi6PMHY
14,I0eu_Y3pMmM,Generating Custom User IP Core in Vivado,3127,014 - Generating Custom User IP Core in Vivado.txt,pending,0,https://www.youtube.com/watch?v=I0eu_Y3pMmM
15,U-75MjbZyJE,Drivers for custom IP,1830,015 - Drivers for custom IP.txt,pending,0,https://www.youtube.com/watch?v=U-75MjbZyJE
16,c0w33XQDC6M,Interfacing with OLED Display of Zedboard: Part 4  IP Generation and Software Driver,3028,016 - Interfacing with OLED Display of Zedboard - Part 4 IP Generation and Software Driver.txt,pending,0,https://www.youtube.com/watch?v=c0w33XQDC6M
17,Xkpu8BXi3aI,Introduction to Direct Memory Access (DMA),1889,017 - Introduction to Direct Memory Access (DMA).txt,pending,0,https://www.youtube.com/watch?v=Xkpu8BXi3aI
18,chs5mdwMchQ,Generating custom AXI4-Stream IP core using Xilinx Vivado,2438,018 - Generating custom AXI4-Stream IP core using Xilinx Vivado.txt,pending,0,https://www.youtube.com/watch?v=chs5mdwMchQ
19,5MCkjKhn1DM,DMA System level Design with custom IP using Vivado,979,019 - DMA System level Design with custom IP using Vivado.txt,pending,0,https://www.youtube.com/watch?v=5MCkjKhn1DM
20,x3KyWuhGmJg,Developing application software for Xilinx AXI DMA,4272,020 - Developing application software for Xilinx AXI DMA.txt,pending,0,https://www.youtube.com/watch?v=x3KyWuhGmJg
21,lzQ9hJ-wevg,Data Transfer between PC and ZedBoard through UART Interface,3045,021 - Data Transfer between PC and ZedBoard through UART Interface.txt,pending,0,https://www.youtube.com/watch?v=lzQ9hJ-wevg
22,J-nhxIiv2Uw,Why data loss may happen during PC to ZedBoard UART Communication?,496,022 - Why data loss may happen during PC to ZedBoard UART Communication.txt,pending,0,https://www.youtube.com/watch?v=J-nhxIiv2Uw
23,SIhYXjcXfBI,Image Filterig Using Custom IP and DMA on ZedBaord,1274,023 - Image Filterig Using Custom IP and DMA on ZedBaord.txt,pending,0,https://www.youtube.com/watch?v=SIhYXjcXfBI
24,-GUED7lsQmI,Performance Measurement in Xilinx SDK,1150,024 - Performance Measurement in Xilinx SDK.txt,pending,0,https://www.youtube.com/watch?v=-GUED7lsQmI
25,LHfm91SThqI,Using Xilinx IP Cores Within Your Design,2738,025 - Using Xilinx IP Cores Within Your Design.txt,pending,0,https://www.youtube.com/watch?v=LHfm91SThqI
26,cz0iKv53Vww,Designing a custom IP for Merge Operation with Xilinx Fifo Generator,4316,026 - Designing a custom IP for Merge Operation with Xilinx Fifo Generator.txt,pending,0,https://www.youtube.com/watch?v=cz0iKv53Vww
27,22ABsVwwkas,Introduction to Interrupts,813,027 - Introduction to Interrupts.txt,pending,0,https://www.youtube.com/watch?v=22ABsVwwkas
28,j11buWcIZ_8,Designing an Interrupt-based System targeting Xilinx Zynq,2160,028 - Designing an Interrupt-based System targeting Xilinx Zynq.txt,pending,0,https://www.youtube.com/watch?v=j11buWcIZ_8
29,Zm3KzhahbUg,Image Processing on Zynq (FPGAs) : Part 1 Introduction,1179,029 - Image Processing on Zynq (FPGAs) - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=Zm3KzhahbUg
30,n35zS__YEFQ,Image Processing on Zynq (FPGAs) : Part 2 Design of Line buffer,1320,030 - Image Processing on Zynq (FPGAs) - Part 2 Design of Line buffer.txt,pending,0,https://www.youtube.com/watch?v=n35zS__YEFQ
31,6El_NQrpgCY,Image Processing on Zynq (FPGAs) : Part 3 Design of MAC,1542,031 - Image Processing on Zynq (FPGAs) - Part 3 Design of MAC.txt,pending,0,https://www.youtube.com/watch?v=6El_NQrpgCY
32,v8pHH-q-0sE,Image Processing on Zynq (FPGAs) : Part 4 Design of Control Logic,2329,032 - Image Processing on Zynq (FPGAs) - Part 4 Design of Control Logic.txt,pending,0,https://www.youtube.com/watch?v=v8pHH-q-0sE
33,v8xZ7ZlJ3ek,Image Processing on Zynq (FPGAs) : Part 5 IP Packaging,1367,033 - Image Processing on Zynq (FPGAs) - Part 5 IP Packaging.txt,pending,0,https://www.youtube.com/watch?v=v8xZ7ZlJ3ek
34,tO5pZ2K9U9I,Image Processing on Zynq (FPGAs) : Part 6 Simulation,2282,034 - Image Processing on Zynq (FPGAs) - Part 6 Simulation.txt,pending,0,https://www.youtube.com/watch?v=tO5pZ2K9U9I
35,r45dkUHIbk4,Image Processing on Zynq (FPGAs) : Part 7 System Integration,903,035 - Image Processing on Zynq (FPGAs) - Part 7 System Integration.txt,pending,0,https://www.youtube.com/watch?v=r45dkUHIbk4
36,IO0hTR3ymdA,Image Processing on Zynq (FPGAs) : Part 8 Software Development and Hardware Evaluation,3097,036 - Image Processing on Zynq (FPGAs) - Part 8 Software Development and Hardware Evaluation.txt,pending,0,https://www.youtube.com/watch?v=IO0hTR3ymdA
